index,barrels08,barrelsA08,charge120,charge240,city08,city08U,cityA08,cityA08U,cityCD,cityE,cityUF,co2,co2A,co2TailpipeAGpm,co2TailpipeGpm,comb08,comb08U,combA08,combA08U,combE,combinedCD,combinedUF,cylinders,displ,drive,engId,feScore,fuelCost08,fuelCostA08,fuelType,ghgScore,ghgScoreA,highway08,highway08U,highwayA08,highwayA08U,highwayCD,highwayE,highwayUF,hlv,hpv,id,lv2,lv4,make,model,mpgData,phevBlended,pv2,pv4,range,rangeCity,rangeCityA,rangeHwy,rangeHwyA,trany,UCity,UCityA,UHighway,UHighwayA,VClass,year,youSaveSpend,charge240b,createdOn,modifiedOn,phevCity,phevHwy,phevComb
29652,0.222,0.0,0.0,12.0,90,90.2795,0,0.0,0.0,37.0,0.0,0,-1,0.0,0.0,92,92.084,0,0.0,37.0,0.0,0.0,0.0,0.0,All-Wheel Drive,9,10,700,0,Electricity,10,-1,94,94.3898,0,0.0,0.0,36.0,0.0,26,94,36979,0,0,Tesla,Model X AWD - 90D,N,False,0,0,257,252.4,0.0,262.7,0.0,Automatic (A1),123.0,0.0,132.6,0.0,Standard Sport Utility Vehicle 4WD,2016,3250,4.75,Fri Sep 25 00:00:00 EDT 2015,Tue Jan 05 00:00:00 EST 2016,0,0,0
29654,0.228,0.0,0.0,12.0,89,88.5914,0,0.0,0.0,38.0,0.0,0,-1,0.0,0.0,89,89.1811,0,0.0,38.0,0.0,0.0,0.0,0.0,All-Wheel Drive,10,10,750,0,Electricity,10,-1,90,89.9126,0,0.0,0.0,37.0,0.0,26,94,36980,0,0,Tesla,Model X AWD - P90D,N,False,0,0,250,247.3,0.0,252.7,0.0,Automatic (A1),120.7,0.0,122.5,0.0,Standard Sport Utility Vehicle 4WD,2016,3000,4.75,Fri Sep 25 00:00:00 EDT 2015,Tue Jan 05 00:00:00 EST 2016,0,0,0
29671,0.168,0.0,0.0,7.0,128,128.2,0,0.0,0.0,26.2638,0.0,0,-1,0.0,0.0,119,118.9,0,0.0,28.3449,0.0,0.0,0.0,0.0,Front-Wheel Drive,146,10,550,0,Electricity,10,-1,109,109.2,0,0.0,0.0,30.8654,0.0,0,0,36996,0,11,Chevrolet,Spark EV,N,False,0,86,82,87.8,0.0,74.8,0.0,Automatic (A1),183.2,0.0,156.0,0.0,Subcompact Cars,2016,4000,0.0,Fri Oct 02 00:00:00 EDT 2015,Wed Mar 02 00:00:00 EST 2016,0,0,0
29672,0.24,0.0,0.0,3.5,85,85.4,0,0.0,0.0,39.4672,0.0,0,-1,0.0,0.0,84,83.7887,0,0.0,40.2262,0.0,0.0,0.0,0.0,Front-Wheel Drive,504,10,800,0,Electricity,10,-1,82,81.9,0,0.0,0.0,41.1538,0.0,0,0,36997,0,22,Mercedes-Benz,B250e,N,False,0,90,87,89.0,0.0,85.0,0.0,Automatic (A1),122.0,0.0,117.0,0.0,Midsize Cars,2016,2750,0.0,Fri Oct 02 00:00:00 EDT 2015,Thu Jan 28 00:00:00 EST 2016,0,0,0
29750,0.18,0.0,0.0,8.0,126,126.4057,0,0.0,0.0,26.6635,0.0,0,-1,0.0,0.0,114,113.6836,0,0.0,29.6496,0.0,0.0,0.0,0.0,Front-Wheel Drive,901,10,600,0,Electricity,10,-1,101,101.2312,0,0.0,0.0,33.2992,0.0,24,92,37066,0,0,Nissan,Leaf (24 kW-hr battery pack),N,False,0,0,84,92.0,0.0,74.0,0.0,Automatic (A1),180.5796,0.0,144.616,0.0,Midsize Cars,2016,3750,5.0,Mon Oct 19 00:00:00 EDT 2015,Wed Dec 02 00:00:00 EST 2015,0,0,0
29751,0.18,0.0,0.0,6.0,124,123.55,0,0.0,0.0,27.2826,0.0,0,-1,0.0,0.0,112,112.4312,0,0.0,29.9829,0.0,0.0,0.0,0.0,Front-Wheel Drive,902,10,600,0,Electricity,10,-1,101,101.29,0,0.0,0.0,33.2832,0.0,24,92,37067,0,0,Nissan,Leaf (30 kW-hr battery pack),N,False,0,0,107,116.0,0.0,95.0,0.0,Automatic (A1),176.5,0.0,144.7,0.0,Midsize Cars,2016,3750,0.0,Mon Oct 19 00:00:00 EDT 2015,Wed Dec 02 00:00:00 EST 2015,0,0,0
29849,0.18,0.0,0.0,4.0,121,121.03,0,0.0,0.0,27.8485,0.0,0,-1,0.0,0.0,112,112.4374,0,0.0,29.9767,0.0,0.0,0.0,0.0,Front-Wheel Drive,3,10,600,0,Electricity,10,-1,103,103.46,0,0.0,0.0,32.5778,0.0,7,72,37156,0,0,Fiat,500e,N,False,0,0,84,90.02,0.0,76.65,0.0,Automatic (A1),172.9,0.0,147.8,0.0,Minicompact Cars,2016,3750,0.0,Wed Dec 02 00:00:00 EST 2015,Wed Dec 02 00:00:00 EST 2015,0,0,0
29915,0.162,0.0,0.0,4.0,137,137.48,0,0.0,0.0,25.0,0.0,0,-1,0.0,0.0,124,124.3601,0,0.0,27.0,0.0,0.0,0.0,0.0,Rear-Wheel Drive,100,10,550,0,Electricity,10,-1,111,111.37,0,0.0,0.0,30.0,0.0,0,0,37216,0,15,BMW,i3 BEV,N,False,0,84,81,89.0,0.0,71.6,0.0,Automatic (A1),196.4,0.0,159.1,0.0,Subcompact Cars,2016,4000,0.0,Tue Jan 05 00:00:00 EST 2016,Wed Jan 13 00:00:00 EST 2016,0,0,0
29933,0.228,0.0,0.0,10.0,88,87.8784,0,0.0,0.0,38.0,0.0,0,-1,0.0,0.0,89,88.8676,0,0.0,38.0,0.0,0.0,0.0,0.0,Rear-Wheel Drive,3,10,750,0,Electricity,10,-1,90,90.1072,0,0.0,0.0,37.0,0.0,26,94,37233,0,0,Tesla,Model S (70 kW-hr battery pack),N,False,0,0,234,234.0,0.0,234.3,0.0,Automatic (A1),110.4,0.0,113.2,0.0,Large Cars,2016,3000,3.75,Thu Jan 21 00:00:00 EST 2016,Wed Mar 02 00:00:00 EST 2016,0,0,0
29934,0.228,0.0,0.0,12.0,88,87.9,0,0.0,0.0,38.0,0.0,0,-1,0.0,0.0,89,88.8,0,0.0,38.0,0.0,0.0,0.0,0.0,Rear-Wheel Drive,1,10,750,0,Electricity,10,-1,90,90.1,0,0.0,0.0,37.0,0.0,26,94,37234,0,0,Tesla,Model S (85 kW-hr battery pack),N,False,0,0,265,262.7,0.0,266.8,0.0,Automatic (A1),110.4,0.0,113.2,0.0,Large Cars,2016,3000,4.75,Thu Jan 21 00:00:00 EST 2016,Wed Mar 02 00:00:00 EST 2016,0,0,0
